Matrix size (N),Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8,Eigenvalue 9,Eigenvalue 10
398,-9.012013386777976,-8.764576884736293,-8.625406360235779,-8.544121139434278,-8.492050488349548,-8.456195610118346,-8.43012864059233,-8.410374079966628,-8.39490852595984,-8.382481095765488
399,-9.015281026690202,-8.767844581238583,-8.628674100371152,-8.547389012017172,-8.495318486590504,-8.459463748947877,-8.433396937737982,-8.413642609007463,-8.398177292831935,-8.385750121239079
400,-9.01854052878658,-8.77110411796335,-8.63193371542323,-8.550648700982812,-8.49857828307652,-8.462723715190508,-8.436657088649875,-8.41690295987549,-8.401437850493801,-8.389010948688059
401,-9.021791826263836,-8.774355496213817,-8.635185173096728,-8.553900240445317,-8.501829950811505,-8.465975546074175,-8.439909080988002,-8.420155164149705,-8.404690301363557,-8.392263655627275
402,-9.025035059266884,-8.77759878458253,-8.638428508694837,-8.55714371112764,-8.505073546035728,-8.469219284601754,-8.443152991790683,-8.423399290303816,-8.40793463589887,-8.395508232079337
403,-9.028270273856476,-8.780834026802609,-8.64166382760812,-8.56037911832764,-8.508309059879934,-8.472454964296004,-8.446388840722319,-8.42663533468211,-8.41117092123777,-8.39874476757555
404,-9.031497522019931,-8.784061304244654,-8.644891134800913,-8.563606513593207,-8.511536583680124,-8.475682624246591,-8.449616695785071,-8.429863361589994,-8.414399182499512,-8.401973282180002
405,-9.034716652880542,-8.787280577197645,-8.648110483471017,-8.56682593360888,-8.514756119398207,-8.478902309230934,-8.452836544511456,-8.433083425787567,-8.417619450073142,-8.405193801073278
406,-9.037927936469824,-8.79049187371096,-8.65132186701309,-8.57003742062374,-8.517967722192223,-8.482114069835736,-8.456048466198691,-8.436295523684738,-8.42083178439748,-8.408406393602508
407,-9.041131337273667,-8.793695259590939,-8.654525371511157,-8.573241022570585,-8.521171453292371,-8.485317915051764,-8.459252480704098,-8.439499753414543,-8.424036227299005,-8.411611076778646
408,-9.044326929873025,-8.79689087243635,-8.657720978601853,-8.576436750403529,-8.524367306034245,-8.488513922358045,-8.462448635099902,-8.442696105940707,-8.427232801200832,-8.414807912017299
409,-9.047514580221687,-8.800078627515886,-8.660908830815625,-8.579624684386198,-8.52755535252941,-8.491702095486245,-8.465636982197292,-8.445884658664845,-8.430421558747337,-8.41799690719196
410,-9.050694588103829,-8.803258607895506,-8.664088898333238,-8.58280482462337,-8.530735621197756,-8.49488247496334,-8.468817558095001,-8.449065396008322,-8.433602533041848,-8.421178094758593
411,-9.053866720572916,-8.80643083645812,-8.667261200239908,-8.58597721920515,-8.533908120302454,-8.498055139400964,-8.471990381471532,-8.452238406489537,-8.436775736835083,-8.42435155279019
412,-9.05703129185363,-8.809595408357023,-8.670425783339379,-8.58914189982698,-8.537072913427298,-8.501220091769408,-8.47515547576819,-8.45540368441954,-8.439941239019715,-8.4275173048478
413,-9.060188075736459,-8.812752323888475,-8.673582746202836,-8.592298925475289,-8.540230044585607,-8.504377355845719,-8.478312892363295,-8.458561312925168,-8.44309908873076,-8.430675379355886
414,-9.063337289796912,-8.815901553288194,-8.676732031487145,-8.595448338646465,-8.543379563210083,-8.50752699358776,-8.481462711517237,-8.461711313363713,-8.446249288372195,-8.433825809707727
415,-9.066478937308913,-8.819043207753744,-8.679873771814487,-8.598590142141653,-8.546521472284837,-8.51066907285964,-8.484604926300253,-8.464853694594847,-8.449391897191175,-8.43696865516257
416,-9.069612912474808,-8.822177267053027,-8.683007918814164,-8.601724388240404,-8.549655857464531,-8.513803549133232,-8.487739580777772,-8.467988539129271,-8.45252692715845,-8.440103896996519
417,-9.072739566508002,-8.825303819179837,-8.686134545638426,-8.60485111192096,-8.552782679069542,-8.516930516907202,-8.490866724313172,-8.471115848597618,-8.455654448055734,-8.443231646521145
418,-9.075858460913688,-8.82842295866008,-8.689253731543284,-8.607970353149943,-8.555902033028113,-8.520050008758778,-8.493986339924271,-8.474235663820796,-8.458774481838002,-8.446351916034635
419,-9.07897018941061,-8.8315346449205,-8.69236544136361,-8.611082156985777,-8.559013941743165,-8.523162027569597,-8.497098558613844,-8.477348030743375,-8.461887027922103,-8.449464700723725
420,-9.08207443482824,-8.834638875789674,-8.695469764317828,-8.614186527015281,-8.562118432157506,-8.526266667249521,-8.500203324971444,-8.48045298269935,-8.464992198828833,-8.452570085748379
421,-9.085171226645434,-8.837735688849941,-8.698566649203691,-8.617283541291751,-8.565215535850564,-8.52936390553937,-8.503300708024543,-8.483550557845074,-8.46808994919271,-8.455668075767905
422,-9.088260717204868,-8.840825235217169,-8.701656269026063,-8.620373212930161,-8.568305316462185,-8.532453793995407,-8.506390758008902,-8.48664076306945,-8.471180374644632,-8.458758701262616
423,-9.091342829001615,-8.843907455346562,-8.704738532453922,-8.623455583040275,-8.571387760678892,-8.535536389446337,-8.509473480817363,-8.489723700369893,-8.47426349367604,-8.461842041417922
424,-9.09441772576998,-8.846982401891324,-8.707813524300088,-8.626530649644558,-8.57446296942524,-8.538611700364237,-8.512548936187683,-8.492799331588577,-8.477339300965394,-8.464918092746794
425,-9.097485458935665,-8.850050058762516,-8.710881259985353,-8.629598486958232,-8.577530910654827,-8.541679775253355,-8.515617189282176,-8.495867713608515,-8.480407907923166,-8.46798690003934
426,-9.100545841932707,-8.853110562075694,-8.713941809766869,-8.632659126299338,-8.580591639418094,-8.544740649516307,-8.518678184210193,-8.498928908623396,-8.483469290365967,-8.471048468071842
427,-9.103599176198765,-8.856163905434666,-8.716995198470265,-8.635712578998122,-8.58364518767359,-8.54779432661881,-8.521732045606397,-8.501982909258558,-8.486523484448272,-8.474102873353157
428,-9.10664540551252,-8.859210123629678,-8.720041455229607,-8.638758934394332,-8.586691648916887,-8.550840905852464,-8.524778751208043,-8.50502978705251,-8.489570530970077,-8.477150152567633
429,-9.109684351468513,-8.862249217971437,-8.723080613576514,-8.64179813873457,-8.589730979314904,-8.553880344478307,-8.527818333406058,-8.508069543108386,-8.49261047547009,-8.480190324046374
430,-9.112716334234074,-8.865281231653908,-8.726112685451739,-8.644830290530585,-8.592763195155598,-8.556912695503271,-8.530850855093373,-8.511102220392,-8.49564333901943,-8.483223387054649
431,-9.115741308866523,-8.868306212602853,-8.72913771290449,-8.647855418939823,-8.595788433156807,-8.559938054572926,-8.533876332011026,-8.514127866595874,-8.498669176301263,-8.486249414226325
432,-9.118759232610753,-8.871324135891197,-8.732155769090182,-8.65087350662888,-8.598806632148275,-8.562956390887113,-8.53689478382008,-8.51714649540888,-8.501687987593044,-8.489268436819417
433,-9.121770192603705,-8.874335174890962,-8.73516679951686,-8.653884667063428,-8.601817880279233,-8.565967733448817,-8.539906260768586,-8.520158143897708,-8.504699836463768,-8.492280490415359
434,-9.124774281838409,-8.877339235565886,-8.738170939271482,-8.656888865825389,-8.604822152685013,-8.568972134701166,-8.542910844697223,-8.52316285358411,-8.507704731427165,-8.495285591226526
435,-9.12777134043101,-8.88033638323983,-8.741168168603664,-8.659886148682217,-8.607819576839198,-8.571969651936758,-8.54590848833128,-8.526160650714008,-8.510702684618714,-8.498283759303495
436,-9.130761598346119,-8.883326688412847,-8.744158497738901,-8.662876539929123,-8.610810046018848,-8.57496025001689,-8.548899227850944,-8.529151565616209,-8.5136938035034,-8.501275042724295
437,-9.133745032839519,-8.886310106249724,-8.747141967882836,-8.665860120423643,-8.61379369661329,-8.577944033411935,-8.551883131100945,-8.532135632784621,-8.516678048080253,-8.504259518506034
438,-9.136721623807052,-8.889286755877995,-8.750118652238745,-8.668836870697909,-8.616770549878533,-8.58092097457326,-8.554860216067567,-8.535112870729687,-8.519655473425278,-8.50723712243043
439,-9.139691353849171,-8.89225655919389,-8.753088546041516,-8.671806827290196,-8.619740600146775,-8.583891167724568,-8.55783053219804,-8.538083362847606,-8.522626108226317,-8.510207964041545
440,-9.142654342266205,-8.895219644349202,-8.756051703498304,-8.674770030980762,-8.62270390677019,-8.58685459282531,-8.56079410563723,-8.541047033984466,-8.525589985196005,-8.513172010470324
441,-9.145610849697576,-8.898176022279364,-8.759008099115652,-8.67772652687388,-8.62566050275163,-8.589811272784361,-8.563750938360856,-8.54400403727235,-8.528547141151343,-8.516129380838763
442,-9.148560468239245,-8.901125707381423,-8.761957823162668,-8.680676310092256,-8.628610393770217,-8.592761274896857,-8.566701035572494,-8.54695432531769,-8.53149758527211,-8.519079999765971
443,-9.15150346538721,-8.904068675706124,-8.764900857468968,-8.683619460905408,-8.631553620414168,-8.595704610163779,-8.569644519647786,-8.549897957225934,-8.53444139421317,-8.522023995266164
444,-9.15443970624513,-8.907005074430664,-8.767837301314021,-8.686555954629759,-8.634490227497919,-8.598641313565425,-8.57258134744935,-8.55283493361468,-8.537378520817084,-8.524961323747265
445,-9.15736947097855,-8.909934845580635,-8.770767144158556,-8.689485852247833,-8.637420200060966,-8.601571424123152,-8.57551159316948,-8.555765300642003,-8.540309082101643,-8.52789209731479
446,-9.160292631985195,-8.912858103600989,-8.773690378226828,-8.692409191523847,-8.640343654825728,-8.604494964131804,-8.578435248926166,-8.558689108786739,-8.543233037864557,-8.530816227731938
447,-9.163209201634611,-8.91577475394533,-8.776607115742541,-8.695325986146903,-8.643260487389002,-8.607411917549669,-8.581352338901128,-8.561606391424705,-8.54615048149809,-8.533733861226155
448,-9.166119337014525,-8.918684875765685,-8.779517357008164,-8.698236281494104,-8.646170855070148,-8.61032239767135,-8.584262949829071,-8.564517099240824,-8.549061379389757,-8.536644941755483
449,-9.169023060112805,-8.921588553343097,-8.78242101623474,-8.701140041624631,-8.649074757861117,-8.61322637495229,-8.587167055200288,-8.567421358922878,-8.551965800068931,-8.539549520062986
450,-9.17192025316568,-8.924485788383517,-8.785318337040911,-8.704037404766643,-8.651972165559188,-8.616123929051117,-8.590064690417181,-8.570319149952445,-8.554863749707517,-8.54244770423581
451,-9.17481094238952,-8.927376541363481,-8.788209151306473,-8.706928313568511,-8.65486315013762,-8.619015015368854,-8.5929559248038,-8.573210520438261,-8.55775530517991,-8.545339394715574
452,-9.177695302813035,-8.930260997021714,-8.791093592160394,-8.709812799274832,-8.657747754829531,-8.621899721192994,-8.595840771963614,-8.576095500446895,-8.560640412199112,-8.548224707066229
453,-9.180573370874177,-8.93313898967198,-8.793971677224231,-8.712690955396848,-8.66062599309469,-8.624778051658613,-8.598719218290675,-8.578974078958167,-8.563519154926997,-8.551103627626919
454,-9.183445039685056,-8.936010712657957,-8.796843396739076,-8.715562762913212,-8.663497881595298,-8.627650036869216,-8.601591313949877,-8.5818463376282,-8.566391553662488,-8.553976226880025
455,-9.18631035041942,-8.938876004303363,-8.799708867083908,-8.718428234774679,-8.666363440260074,-8.630515688422145,-8.60445711327257,-8.584712272398596,-8.569257666780043,-8.556842497810369
456,-9.189169348160158,-8.941735112506583,-8.802567961739381,-8.721287446797247,-8.669222726823541,-8.633375087858884,-8.607316612734166,-8.587571904727177,-8.57211745217582,-8.559702436013426
457,-9.192022232024152,-8.944587972690075,-8.805420835329924,-8.724140359354296,-8.672075733920726,-8.636228209529511,-8.61016987399459,-8.590425282398064,-8.574971010091447,-8.562556150804046
458,-9.19486875600575,-8.947434521293939,-8.808267460278854,-8.726987085790483,-8.67492252660114,-8.639075097567924,-8.613016868717967,-8.593272410950933,-8.577818304561472,-8.56540361741582
459,-9.19770912641496,-8.950274928721944,-8.811107906146937,-8.729827592904856,-8.67776310403845,-8.6419157772812,-8.615857697206746,-8.596113368645245,-8.580659372666226,-8.56824489753698
460,-9.200543251659564,-8.95310918502658,-8.813942151257839,-8.732661879967779,-8.680597538862894,-8.644750300214387,-8.61869230574589,-8.598948144763565,-8.58349429104327,-8.571079972244142
461,-9.203371348470295,-8.955937235466552,-8.816770304567324,-8.735490072325744,-8.683425801424955,-8.647578652885782,-8.62152077020768,-8.601776754566528,-8.58632303271323,-8.573908938788932
462,-9.206193176817507,-8.958759216523417,-8.819592286491318,-8.738312114945673,-8.686247899801042,-8.650400870451017,-8.624343106536344,-8.604599216372883,-8.589145681658769,-8.576731727523958
463,-9.209009117175542,-8.961574984026502,-8.822408148195278,-8.741128078999658,-8.689063953179078,-8.653216991622253,-8.627159366223934,-8.60741559941106,-8.591962216967515,-8.579548413964742
464,-9.211818777297529,-8.964384777613063,-8.825217944800837,-8.74393797721167,-8.691873904864075,-8.65602705873277,-8.629969539291665,-8.610225905174671,-8.594772656599133,-8.58235899104516
465,-9.214622547638674,-8.967188506736889,-8.828021768429313,-8.746741825218153,-8.694677808931456,-8.658831070555735,-8.63277365100779,-8.613030161986785,-8.597577058625768,-8.585163571094256
466,-9.21742019502193,-8.969986276022542,-8.830819517019844,-8.749539609758232,-8.69747572343197,-8.661629075945639,-8.635571763002153,-8.61582840147266,-8.600375447906904,-8.587962124749431
467,-9.220211802981161,-8.972777999109505,-8.833611288811849,-8.752331448064215,-8.700267599371411,-8.664421079707726,-8.638363874346902,-8.61862063409997,-8.60316785248697,-8.590754683671546
468,-9.22299762090463,-8.975563688666258,-8.836397086263906,-8.755117333809519,-8.70305357534633,-8.667207113373168,-8.641150020171322,-8.621406897807521,-8.605954265881769,-8.593541282863647
469,-9.225777420557147,-8.978343558971357,-8.839176948226369,-8.757897262990753,-8.705833570987544,-8.669987211787596,-8.643930239011526,-8.62418723401549,-8.608734721955583,-8.596321900716262
470,-9.228551296716644,-8.981117382207742,-8.841950882977692,-8.760671233976913,-8.708607657313223,-8.672761364384783,-8.646704504879422,-8.626961637695015,-8.61150929618878,-8.599096608144674
471,-9.231319184804176,-8.983885480776085,-8.84471893573192,-8.763439346268035,-8.711375795663228,-8.675529636432342,-8.649472896216603,-8.629730156455212,-8.614277914442907,-8.601865419565408
472,-9.234081351657588,-8.986647579976115,-8.847481120812118,-8.76620160501598,-8.71413813998209,-8.678292047900017,-8.652235392622162,-8.632492790931476,-8.617040735610862,-8.60462835220026
473,-9.236837740628328,-8.989403859233514,-8.85023742061435,-8.768957984586319,-8.716894658197774,-8.681048621680004,-8.65499207954042,-8.635249569668806,-8.619797652099184,-8.607385456911645
474,-9.239588128555221,-8.992154351081991,-8.852987994114674,-8.771708595227782,-8.719645319796298,-8.683799358620316,-8.657742942380516,-8.638000575620026,-8.622548791418467,-8.61013672630196
475,-9.24233279442396,-8.994899039626972,-8.855732760678254,-8.774453383632581,-8.722390173790405,-8.6865443375048,-8.660488003640166,-8.640745767213042,-8.625294089247333,-8.612882217507158
476,-9.245071687596706,-8.997637962867056,-8.858471675326479,-8.777192399369733,-8.72512927280245,-8.689283489440376,-8.663227288745611,-8.643485182062532,-8.6280336409518,-8.615621897359382
477,-9.247804758470373,-9.000371109823211,-8.861204907845126,-8.779925661429905,-8.72786255474922,-8.692016950111375,-8.665960861642356,-8.646218861077484,-8.6307674666725,-8.618355860463558
478,-9.250532301899154,-9.003098576767812,-8.86393245555476,-8.782653225991968,-8.730590236246268,-8.694744681340273,-8.668688647162877,-8.648946769636334,-8.633495508877061,-8.621084079068128
479,-9.253253931377587,-9.005820358827696,-8.8666542098582,-8.785375118340333,-8.733312142108577,-8.697466723733116,-8.671410786452858,-8.6516690332982,-8.636217913372693,-8.623806622917689
480,-9.255970122207893,-9.008536453272654,-8.869370315581204,-8.788091297015377,-8.736028416655648,-8.700183069230619,-8.67412724544155,-8.65438559669106,-8.638934628161058,-8.62652346928877
481,-9.258680489190311,-9.011246966764597,-8.87208081397855,-8.790801826899228,-8.738739048268398,-8.702893764120093,-8.676838064325793,-8.657096539260039,-8.641645684199325,-8.629234694252778
482,-9.261385343823191,-9.01395174118866,-8.87478567612097,-8.793506741487002,-8.74144402726488,-8.705598831785005,-8.6795432498842,-8.659801836847848,-8.644351074200873,-8.631940247742534
483,-9.264084476238521,-9.01665099660316,-8.877484948471857,-8.796206041849194,-8.74414342787354,-8.708298298414542,-8.682242811283933,-8.662501521163508,-8.647050917488212,-8.634640244534053
484,-9.266778029991222,-9.01934463311308,-8.88017864367476,-8.798899802687703,-8.74683724594044,-8.710992193053805,-8.684936797250957,-8.6651956269154,-8.649745171450547,-8.637334639581818
485,-9.269466154423311,-9.022032660402434,-8.882866776868315,-8.801587994976378,-8.749525520863013,-8.71368054765425,-8.687625222558916,-8.667884191863223,-8.652433836626932,-8.64002342207782
486,-9.272148824287763,-9.024715256447084,-8.88554940337801,-8.804270627271041,-8.752208211715828,-8.71636334318587,-8.69030814210036,-8.670567173961878,-8.655117000341097,-8.642706716681387
487,-9.274825652677778,-9.027392271993193,-8.888226468414116,-8.806947783232346,-8.754885404681994,-8.719040643700488,-8.692985538638984,-8.673244699113397,-8.65779462655207,-8.645384518917492
488,-9.277497341402206,-9.030063892059438,-8.890898070405285,-8.809619440941876,-8.757557147968063,-8.721712435060212,-8.69565743468872,-8.67591670262478,-8.66046676610051,-8.648056826319348
489,-9.280163325045123,-9.032729914111538,-8.893564197294307,-8.812285616864708,-8.76022336554476,-8.724378759831602,-8.698323855436348,-8.67858323291131,-8.663133430114588,-8.65072360445693
490,-9.282823951020548,-9.035390586039986,-8.89622491598092,-8.814946367016583,-8.762884195460952,-8.727039663730952,-8.700984828788721,-8.681244370010042,-8.665794675446177,-8.653384957038234
491,-9.28547920525297,-9.038045878863636,-8.898880180631755,-8.817601676325005,-8.765539609111,-8.729695140056192,-8.703640424178355,-8.683900027018007,-8.668450475187655,-8.656040957984791
492,-9.288128888138171,-9.040695707562765,-8.901529985399657,-8.820251568907201,-8.768189579234791,-8.732345183997195,-8.70629055882037,-8.686550317657455,-8.67110084771446,-8.658691442593543
493,-9.29077336231826,-9.043340160214566,-8.904174562119806,-8.82289614698233,-8.770834210638354,-8.734989905278622,-8.708935346108262,-8.689195216257094,-8.673745902213,-8.661336627551009
494,-9.293412432820741,-9.045979271026594,-8.90681363637888,-8.825535365454002,-8.773473481241252,-8.737629248403652,-8.711574785830225,-8.69183475658585,-8.67638557487792,-8.663976456365514
495,-9.296046092556237,-9.048613077050826,-8.909447446129057,-8.828169218313915,-8.776107414521785,-8.74026324400666,-8.714208919486323,-8.694468975252132,-8.679019891733844,-8.666610908440445
496,-9.298674528095965,-9.051241441911198,-8.912075917009167,-8.83079777825211,-8.778735992164018,-8.742891925469317,-8.716837671716908,-8.697097852997226,-8.681648926407375,-8.669240035663773
497,-9.30129793253502,-9.053864700933179,-8.9146991761098,-8.833421005741505,-8.781359331283154,-8.745515328966817,-8.71946120848486,-8.699721460737914,-8.68427262058531,-8.671863928883866
498,-9.303915728971319,-9.05648254519833,-8.917317112553572,-8.836039017816882,-8.783977374199674,-8.748133464498231,-8.722079418678263,-8.702339813612145,-8.686891098543613,-8.674482503492674
499,-9.306528305065058,-9.059095198838484,-8.919929859192045,-8.838651740675946,-8.78659015411906,-8.750746373440041,-8.724692393845753,-8.704952899153021,-8.689504260594408,-8.67709581933813
500,-9.309135666847574,-9.061702712740647,-8.922537267080827,-8.841259297456093,-8.789197797875428,-8.75335401199704,-8.727300106906617,-8.707560736615722,-8.692112282934021,-8.679703976017398
501,-9.311738020083823,-9.06430489864324,-8.92513951550228,-8.843861578604066,-8.791800162970468,-8.755956484949772,-8.729902696739627,-8.710163377915968,-8.694715023565525,-8.682306857977528
502,-9.314334980776541,-9.066901931232323,-8.927736582545366,-8.846458712827369,-8.794397335319667,-8.758553752903865,-8.732500058941007,-8.712760847667836,-8.697312618659073,-8.68490456955872
503,-9.316926757731606,-9.069493807410055,-8.930328531115544,-8.849050673531472,-8.796989358536674,-8.761145837194054,-8.735092255146661,-8.715353142320964,-8.699905021973928,-8.687497071437626
504,-9.319513566675315,-9.07208052586674,-8.932915343525002,-8.85163751597087,-8.799576232608002,-8.763732791619637,-8.737679308431535,-8.717940260108325,-8.702492282376065,-8.69008447417393
505,-9.322095022987838,-9.074662149145423,-8.935496919040075,-8.854219176919914,-8.802158006192796,-8.76631464286877,-8.740261202110299,-8.720522294096,-8.705074404305442,-8.692666742992174
506,-9.324671752964138,-9.07723861832549,-8.938073538734189,-8.856795797450989,-8.804734683852582,-8.76889135922964,-8.742838048199472,-8.723099216659145,-8.707651441889293,-8.695243881802758
507,-9.327242965613742,-9.079810000444775,-8.940644936631776,-8.859367277615716,-8.807306224699104,-8.771463001911052,-8.745409749859823,-8.725671064082702,-8.710223404350273,-8.697815972255277
508,-9.32980929545415,-9.082376492240387,-8.943211401100625,-8.861933723286953,-8.809872684005185,-8.77402957379722,-8.747976381449071,-8.728237812206117,-8.712790254630441,-8.70038298535999
509,-9.33237056474394,-9.084937725268755,-8.945772753475032,-8.864495120087254,-8.812434168106915,-8.776591141598834,-8.750538064078407,-8.730799533336352,-8.715352102371748,-8.702944969946513
510,-9.33492680179985,-9.087494026911294,-8.948329030119178,-8.867051496844425,-8.8149906429668,-8.77914761956877,-8.753094662909445,-8.733356239413256,-8.717908914963918,-8.705501900618343
511,-9.337478247131266,-9.090045412763434,-8.950880401313302,-8.869602884837581,-8.817542075496537,-8.781699141131876,-8.755646260113359,-8.735907912301318,-8.72046070995591,-8.708053791959248
512,-9.34002430472832,-9.092591641940894,-8.953426691003306,-8.872149275575447,-8.820088482376313,-8.784245655434892,-8.758192853676768,-8.73845466444116,-8.723007507069973,-8.710600777782139
513,-9.34256585182731,-9.095132924788603,-8.955968074894427,-8.874690704615611,-8.822629980592511,-8.786787239028598,-8.760734487485017,-8.740996385152881,-8.725549377986418,-8.713142721910799
514,-9.345102080337744,-9.097669412951694,-8.958504556438712,-8.877227167322802,-8.825166543509006,-8.789323844381782,-8.76327116372408,-8.743533159027702,-8.728086247681208,-8.715679763181072
515,-9.34763366785389,-9.100200934397185,-8.961036051284644,-8.87975874668538,-8.82769809591036,-8.791855520826191,-8.765802931068036,-8.746065008603173,-8.73061824240847,-8.718211846762408
516,-9.350160229759846,-9.102727447079412,-8.963562609961823,-8.88228539955776,-8.83022486220367,-8.794382288279845,-8.76832979604954,-8.748591991721142,-8.73314529058559,-8.720739038122142
517,-9.35268180853848,-9.105249109341605,-8.966084331197779,-8.884807126978169,-8.83274667183731,-8.79690420127926,-8.77085176703805,-8.751114036188861,-8.735667473399088,-8.723261325561591
518,-9.355198667854161,-9.107766017968652,-8.96860118096242,-8.88732406298339,-8.835263655113222,-8.799421186692477,-8.773368854272583,-8.75363123710612,-8.738184773177814,-8.725778739211334
519,-9.357710419918034,-9.110277869656425,-8.971113217771672,-8.889836126301995,-8.837775743748956,-8.801933335558047,-8.775881115667048,-8.756143558835651,-8.74069722501149,-8.72829131156932
520,-9.360217553671939,-9.112785100627034,-8.973620318712593,-8.892343323955794,-8.840283022869308,-8.804440709656163,-8.778388520056163,-8.758651101959048,-8.743204866457104,-8.730799036639818
521,-9.362719904157286,-9.115287341529754,-8.976122730659347,-8.894845709301302,-8.842785426979948,-8.80694324093392,-8.780891129792304,-8.7611537667539,-8.745707633354673,-8.733301951059245
522,-9.365217304177456,-9.117784969618386,-8.978620288050816,-8.897343293774023,-8.845283149237343,-8.80944092820886,-8.783388963727727,-8.763651692503176,-8.748205671331087,-8.735800052566846
523,-9.367710258905245,-9.12027768349718,-8.981113104559276,-8.899836135728433,-8.84777597282458,-8.811933906322682,-8.78588199591783,-8.766144816691602,-8.750698867428005,-8.738293423683258
524,-9.370198155945996,-9.12276566146313,-8.983601062182233,-8.902324205856845,-8.85026414825727,-8.814422078223453,-8.788370248524767,-8.768633180864247,-8.753187372756575,-8.740782024882636
525,-9.372681280200547,-9.125248878448758,-8.98608437394673,-8.90480752132025,-8.852747459972665,-8.816905584165836,-8.79085379319181,-8.771116794278244,-8.755671076897169,-8.743265859398319
526,-9.375159924746422,-9.127727450565466,-8.988562973022525,-8.9072861470747,-8.855226165174216,-8.819384261500767,-8.793332609485791,-8.77359566797922,-8.758150082963693,-8.745744932117208
527,-9.377633700722605,-9.130201216178754,-8.991036840586407,-8.909760058958472,-8.857700156080607,-8.82185832363713,-8.795806678062077,-8.77606988530292,-8.760624336210135,-8.748219334754246
528,-9.38010290603031,-9.13267036596878,-8.993506007204099,-8.91222928014955,-8.860169377485565,-8.824327610043973,-8.79827612527238,-8.778539391297292,-8.763093944907132,-8.750689077048833
529,-9.382567381539445,-9.135134882630597,-8.995970554227833,-8.91469378928477,-8.862633989733805,-8.826792271049845,-8.800740888020755,-8.781004238201282,-8.765558912246483,-8.753154084375943
530,-9.385027200021959,-9.137594749975921,-8.998430322293116,-8.917153706673052,-8.865093941875422,-8.829252322050676,-8.80320090328926,-8.7834644092951,-8.768019188152078,-8.755614498455047
531,-9.387482437432537,-9.140049952956836,-9.000885542695007,-8.919608968312463,-8.867549292164043,-8.83170770995065,-8.80565640227572,-8.785919961081872,-8.770474833261273,-8.758070248008893
532,-9.389932699596265,-9.142500477689628,-9.003336157257928,-8.922059652468022,-8.869999937469206,-8.834158488064013,-8.808107228557452,-8.788370880360509,-8.77292585561872,-8.760521393024636
533,-9.392378774985913,-9.144946457331592,-9.005782157616661,-8.924505697643664,-8.872446104092154,-8.836604641267034,-8.810553471524255,-8.790817228027269,-8.775372264944647,-8.762967908261455
534,-9.394820274646817,-9.147387882866001,-9.008223686495754,-8.926947138319646,-8.874887582092468,-8.839046191348903,-8.81299512436725,-8.793258957865147,-8.777814128773224,-8.765409902263952
535,-9.397257042939486,-9.149824672780765,-9.01066048959754,-8.929384059449019,-8.877324547919965,-8.84148323401565,-8.815432231728805,-8.795696134674705,-8.78025140478361,-8.767847264797055
536,-9.3996891642421,-9.152257041843761,-9.013092813301872,-8.931816403902712,-8.879757015535073,-8.843915723885495,-8.817864790299101,-8.798128789111283,-8.782684107898497,-8.770280108549164
537,-9.402116969728269,-9.15468483820539,-9.015520657109422,-8.934244260981343,-8.882184831764913,-8.846343652373232,-8.820292798139235,-8.800556879406464,-8.785112311891977,-8.772708415077245
538,-9.404540309899916,-9.157108058019258,-9.017943868742389,-8.936667576339554,-8.884608181090515,-8.848767085306735,-8.822716305690959,-8.802980476753252,-8.787536036255418,-8.775132212251817
539,-9.406959033293306,-9.15952677420808,-9.020362704721794,-8.939086394443496,-8.88702708279648,-8.851186017847093,-8.825135314687108,-8.805399579977843,-8.789955186935513,-8.77755148444951
540,-9.409373233985685,-9.16194098691702,-9.022776964026093,-8.941500762175412,-8.889441500760494,-8.853600520444305,-8.827549828313595,-8.80781415138559,-8.792369901279669,-8.779966308717828
541,-9.411783009584937,-9.164350850220362,-9.025186805988321,-8.943910579303479,-8.891851399451031,-8.856010517733768,-8.829959954919094,-8.810224306322816,-8.794780146084111,-8.78237667312211
542,-9.41418846127428,-9.166756216288531,-9.027592133851268,-8.9463160455489,-8.894256859706806,-8.858416008869355,-8.832365546009912,-8.812630010788123,-8.797185888793466,-8.784782566851707
543,-9.416589442197376,-9.169157089586442,-9.02999316508397,-8.948717013601609,-8.896657965559234,-8.860817107217905,-8.834766660843105,-8.815031269943564,-8.799587274502004,-8.787183980242173
544,-9.41898580359298,-9.171553631134106,-9.032389701041112,-8.951113587686399,-8.89905457017765,-8.86321381658691,-8.837163466803771,-8.817428090442665,-8.801984215622086,-8.78958104527674
545,-9.421377903689077,-9.173945850965437,-9.03478191159279,-8.953505824744557,-8.901446819070824,-8.865606104195955,-8.839555871351116,-8.819820558395731,-8.804376743276292,-8.791973662808399
546,-9.423765598313482,-9.176333525494929,-9.037169651485225,-8.955893630575046,-8.90383462564679,-8.86799401436817,-8.841943834526152,-8.822208645619774,-8.806764890637341,-8.794361922222398
547,-9.426148998693575,-9.178716900483442,-9.039553041935296,-8.95827706482915,-8.906218140732367,-8.870377593754151,-8.844327424008837,-8.824592364046966,-8.80914875326604,-8.796745821019805
548,-9.428527961168276,-9.181095990697884,-9.041932046292374,-8.960656138002072,-8.908597280522422,-8.872756775384474,-8.846706710316964,-8.826971687590751,-8.811528126964019,-8.799125405844416
